policy,top_k,n_selected,mean_mu,median_mu,mean_sigma,median_sigma,mean_EI,median_EI,overlap_with_EI,mean_mu_std,mean_sigma_std,mean_EI_std,overlap_with_EI_std
EI,50,50,-0.01917123994711981,-0.022942905076482913,0.16258700528179099,0.16778880440631622,0.03773028129476095,0.037349657251311605,1.0,,,,
Predicted mean,50,50,-0.0008769493590496734,-0.0034372229030067945,0.12246103718963926,0.12153116965414669,0.02933944139437684,0.030580299121893285,0.24,,,,
Uncertainty-only,50,50,-0.03293253101223415,-0.03179220160994123,0.17104268082081095,0.17119946912252795,0.03622849071830691,0.03669595559198925,0.6,,,,
Random,50,50,-0.03524672053599277,-0.028315396932182924,0.13751395301345187,0.1366008769988133,0.025216274779668483,0.026334168551890358,0.18244000000000002,0.004359807458828197,0.0030800412795046876,0.001351022438851275,0.04937696309499486
