rep,top_k,mean_mu,median_mu,mean_sigma,median_sigma,mean_EI,median_EI,overlap_with_EI
102,50,-0.03486975432750549,-0.02377917116301814,0.1332397040636251,0.13383675405239764,0.024592125848384293,0.025109698347531777,0.24
103,50,-0.02883486414974533,-0.026710262283909672,0.1399074006513712,0.1386094619492722,0.02688001956106258,0.02695783850451049,0.12
104,50,-0.03505177067926093,-0.026505648356090674,0.13275858677879832,0.13396997631927782,0.02352642373953506,0.02416611140473507,0.12
105,50,-0.031710058854931236,-0.027155043775942668,0.13574574030729183,0.13110238582509803,0.025632743411420408,0.02861112932030671,0.18
106,50,-0.031618852517142845,-0.025931238435723883,0.13195862771730513,0.13478383894785806,0.024185125039747523,0.024222055182317046,0.08
107,50,-0.035710413211370876,-0.026816006503923503,0.14030441187470472,0.14356150000940915,0.02623506450929628,0.028351514320327745,0.18
108,50,-0.03393977644592956,-0.028848513588216742,0.13374563436318102,0.1268463271070664,0.023888065137896285,0.022461116810394255,0.12
109,50,-0.035595923148069114,-0.029732936184361534,0.13796054568810784,0.13946809927094392,0.02510074051098079,0.02580371008913777,0.14
110,50,-0.029475926949395163,-0.025942035434037607,0.13547970316041316,0.13780499274015573,0.025473061377171424,0.02693493206354199,0.16
111,50,-0.03738666911137627,-0.031201325133035182,0.13806065633516149,0.13723902076497083,0.02504516253193093,0.025421091548199,0.18
112,50,-0.029193681389961524,-0.02602014825330063,0.13329516884120562,0.13544481159955893,0.02485495794190042,0.025814691679528195,0.1
113,50,-0.03052874290472983,-0.02572588790982725,0.13611232866461098,0.13629787629328044,0.02573138220845033,0.02686873065288329,0.16
114,50,-0.02819533931488042,-0.024556023956467634,0.1390552607331294,0.14005126832223352,0.027025061820608168,0.029504375737423344,0.16
115,50,-0.02524306761230058,-0.025303309764525155,0.1389840073151283,0.13905255904858613,0.027752321453358122,0.028835649514089436,0.16
116,50,-0.03193957630284919,-0.026080090781729248,0.13533877612155396,0.1321270618732669,0.024851786896344742,0.025162680086387654,0.14
117,50,-0.03433176181042174,-0.029999623734795797,0.14407404483830483,0.14314164758642628,0.027358974430378526,0.03177446662540186,0.16
118,50,-0.046230258060116124,-0.03372415389560583,0.1391332925133899,0.13516676540621878,0.023271923663522633,0.02210245883280331,0.12
119,50,-0.03961564794304312,-0.02966170685165009,0.13195901714719718,0.1326585418407747,0.022784988902259516,0.022400277974182176,0.14
120,50,-0.02694325748495574,-0.027155043775942668,0.13340169115405764,0.13337356331197497,0.025374831821382227,0.02534835703679293,0.12
121,50,-0.04270312561962833,-0.031159924390300766,0.13752702101492453,0.13498073379426265,0.02432192195511166,0.02686873065288329,0.2
122,50,-0.035665484736529016,-0.033274667145584996,0.13800887506845422,0.13427043800034377,0.024763115612027264,0.024067308247289393,0.16
123,50,-0.035289508821825015,-0.030085729700379097,0.1393703231455195,0.13551554644370925,0.025714788980937334,0.02632981524617253,0.18
124,50,-0.035774018494529165,-0.03160280914145766,0.1425089957849105,0.14118444606548866,0.026628467791358208,0.02912736960995049,0.24
125,50,-0.040816576079459994,-0.03207623729159963,0.13501725765569567,0.13229531194663804,0.023137237773680343,0.022530988987800298,0.16
126,50,-0.03834165043976865,-0.026925991096222533,0.13794012943845202,0.13669206068211887,0.025413952105679573,0.025576949074893142,0.22
127,50,-0.03604820937547998,-0.027960505166570494,0.1331621226203251,0.12859887904787515,0.023373757229893873,0.02240071633488259,0.14
128,50,-0.03930824567045185,-0.030625885136267517,0.13951158743445632,0.13599652101762005,0.025000283434890407,0.026277053349244767,0.2
129,50,-0.04431627597630569,-0.03602567788678491,0.1416229023551124,0.14234080413476646,0.024362382446983813,0.02579868961187133,0.2
130,50,-0.030426008834130606,-0.02654498789778705,0.14035320219615663,0.14458394350585962,0.026963930219104756,0.02950992167746868,0.24
131,50,-0.029569869605979907,-0.02686595361807001,0.13675119125626028,0.1341032575626746,0.025926791139911518,0.025954547138565473,0.14
132,50,-0.03403583351246411,-0.025931678307353764,0.1363698108205562,0.13435266379698507,0.025210547981540286,0.02580371008913777,0.22
133,50,-0.04224945795044462,-0.03138581400091831,0.13853632919511594,0.13720194147861714,0.024431697378807307,0.025979739018062335,0.14
134,50,-0.03346795417256975,-0.024970567320676665,0.13507246964087616,0.13343501215444803,0.024726479796954793,0.025979739018062335,0.18
135,50,-0.03834994432753823,-0.02905662153624699,0.14138381227578994,0.14052692392722427,0.025762219984043027,0.02930348730147201,0.24
136,50,-0.04205202541432852,-0.02808318491191012,0.1385478147448863,0.136538040757288,0.02439989625262792,0.025459444539713626,0.2
137,50,-0.03763937436088408,-0.027782337355952254,0.13549086415512226,0.1370479215537863,0.024069774993205267,0.02609239693207315,0.16
138,50,-0.03795741405617325,-0.030129566577392387,0.1412717714837282,0.13840468232691894,0.025684683630653068,0.023544873862178357,0.2
