representation,label,point_estimate_rmse_improvement_vs_hard,point_estimate_spearman,point_estimate_top20_overlap,ci95_low_rmse_improvement_vs_hard,ci95_low_spearman,ci95_low_top20_overlap,ci95_high_rmse_improvement_vs_hard,ci95_high_spearman,ci95_high_top20_overlap,n_features,rmse
full_soft_mean_std,Full soft,-0.008008044232385395,0.3933075933075934,0.375,-0.03286492248071564,0.0726545360691702,0.0,0.011976246790159415,0.6483895258841864,0.75,12,0.1261328840756733
hard_only,Hard,0.0,0.2743886743886744,0.125,0.0,-0.04219874305075004,0.0,0.0,0.5405689106171241,0.5,19,0.1181248398432879
hybrid_full_mean_std,Hybrid (LEAP),0.0006530742005643603,0.39407979407979404,0.375,-0.01338950198289421,0.109130956975573,0.0,0.008840341598309296,0.62547096557359,0.625,31,0.1174717656427236
mechanism_mean_std,Mechanism soft,-0.013051291733992706,0.33539253539253544,0.5,-0.04216118630350147,0.026594028135229004,0.125,0.01064261490663702,0.5898965427036306,0.625,10,0.1311761315772807
